source,taxonomy,window,code,name,taxonomy_class,measure_class,n_facts,n_filings,resolved_id,tier,confidence,rule,seen_in_train,in_crosswalk,declared_out_of_core,baseline_naive,gold
eurostat_cofog,gfs,holdout,GF0409,Economic affairs n.e.c.,standard,monetary,2249,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0204,R&D Defence,standard,monetary,2248,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0107,Public debt transactions,standard,monetary,2241,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1008,R&D Social protection,standard,monetary,2211,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0105,R&D General public services,standard,monetary,2208,29,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0605,R&D Housing and community amenities,standard,monetary,2200,28,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0108,Transfers of a general character between different levels of government,standard,monetary,2188,28,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,TOTAL,Total,standard,monetary,15417,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF10,Social protection,standard,monetary,15065,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF07,Health,standard,monetary,15022,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF08,"Recreation, culture and religion",standard,monetary,15005,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF09,Education,standard,monetary,15000,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF01,General public services,standard,monetary,14777,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF04,Economic affairs,standard,monetary,14617,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF06,Housing and community amenities,standard,monetary,14574,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF05,Environmental protection,standard,monetary,14564,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF03,Public order and safety,standard,monetary,14534,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF02,Defence,standard,monetary,14404,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0802,Cultural services,standard,monetary,13590,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0801,Recreational and sporting services,standard,monetary,13583,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0703,Hospital services,standard,monetary,13558,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1002,Old age,standard,monetary,13550,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1004,Family and children,standard,monetary,13540,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0904,Tertiary education,standard,monetary,13531,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0702,Outpatient services,standard,monetary,13522,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0902,Secondary education,standard,monetary,13487,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",standard,monetary,13484,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0906,Subsidiary services to education,standard,monetary,13462,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0901,Pre-primary and primary education,standard,monetary,13460,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1009,Social protection n.e.c.,standard,monetary,13460,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0905,Education not definable by level,standard,monetary,13455,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0405,Transport,standard,monetary,13418,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1006,Housing,standard,monetary,13410,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0401,"General economic, commercial and labour affairs",standard,monetary,13402,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1001,Sickness and disability,standard,monetary,13393,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0706,Health n.e.c.,standard,monetary,13392,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0402,"Agriculture, forestry, fishing and hunting",standard,monetary,13378,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF1005,Unemployment,standard,monetary,13374,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0908,Education n.e.c.,standard,monetary,13372,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0501,Waste management,standard,monetary,13371,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,train,GF0506,Environmental protection n.e.c.,standard,monetary,13364,30,,escalated,0.0,,True,False,False,,
