cofog99,cofog99_label_en,na_item,na_item_label_en,window,n_observations,n_countries,n_years,sum_abs_value
GF0103,General services,D7_S1312,"Other current transfers,of which payable to subsector S1312",train,20,1,20,0.0
GF0103,General services,D7_S1313,"Other current transfers,of which payable to subsector S1313",holdout,4,1,4,0.0
GF0103,General services,D7_S1313,"Other current transfers,of which payable to subsector S1313",train,20,1,20,0.0
GF0103,General services,D7_S1314,"Other current transfers,of which payable to subsector S1314",holdout,4,1,4,0.0
GF0103,General services,D7_S1314,"Other current transfers,of which payable to subsector S1314",train,20,1,20,0.0
GF0103,General services,D9,Capital transfers,holdout,116,29,5,9615.2
GF0103,General services,D9,Capital transfers,train,661,30,26,42341.6
GF0103,General services,D92,Investment grants,holdout,116,29,5,3649.5
GF0103,General services,D92,Investment grants,train,650,29,26,22842.1
GF0103,General services,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",holdout,4,1,4,0.0
GF0103,General services,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",train,20,1,20,0.0
GF0103,General services,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",holdout,4,1,4,0.0
GF0103,General services,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",train,20,1,20,0.0
GF0103,General services,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",holdout,4,1,4,0.0
GF0103,General services,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",train,20,1,20,0.0
GF0103,General services,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",holdout,4,1,4,0.0
GF0103,General services,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",train,20,1,20,0.0
GF0103,General services,NP,Acquisitions less disposals of non-financial non-produced assets,holdout,114,29,5,9373.7
GF0103,General services,NP,Acquisitions less disposals of non-financial non-produced assets,train,650,28,26,56161.1
GF0103,General services,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,holdout,121,30,5,123381.1
GF0103,General services,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,train,697,30,26,412050.5
GF0103,General services,P2,Intermediate consumption,holdout,121,30,5,279080.3
GF0103,General services,P2,Intermediate consumption,train,698,30,26,889687.3
GF0103,General services,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",holdout,117,29,5,286629.0
GF0103,General services,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",train,672,29,26,916968.0
GF0103,General services,P3,Final consumption expenditure,holdout,121,30,5,553479.0
GF0103,General services,P3,Final consumption expenditure,train,698,30,26,2169260.6
GF0103,General services,P31,Individual consumption expenditure,holdout,77,19,5,0.0
GF0103,General services,P31,Individual consumption expenditure,train,474,20,26,0.0
GF0103,General services,P32,Collective consumption expenditure,holdout,109,27,5,407564.5
GF0103,General services,P32,Collective consumption expenditure,train,640,27,26,1723895.5
GF0103,General services,P5,Gross capital formation,holdout,121,30,5,124280.9
GF0103,General services,P5,Gross capital formation,train,697,30,26,424187.6
