codelist_id,code,label_en,parent_code,description
CL_GFS_INDICATOR,G26_IO_T,"Grants payable, International Organizations, Transactions",,"Transfers that the government provides to other entities for various purposes, including operational support and capital projects. International Organizations Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G26_S13111_T_MI,"Grants payable, Budgetary central government, Transactions, Memorandum Item",,"Transfers that the government provides to other entities for various purposes, including operational support and capital projects. Budgetary units, central government Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value. Memorandum Item"
CL_GFS_INDICATOR,G26_S13U_T,"Grants payable, Other general government, Transactions",,"Transfers that the government provides to other entities for various purposes, including operational support and capital projects. Other general government Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G26_T,"Grants payable, Transactions",,"Transfers that the government provides to other entities for various purposes, including operational support and capital projects. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G26_TCB_CAB,"Grants payable, Transactions (cash basis of recording), Cash basis",,"Transfers that the government provides to other entities for various purposes, including operational support and capital projects. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G271_T,"Social security benefits, Transactions",,"Benefits provided by social security schemes, including pensions, unemployment benefits, and disability payments. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G272_T,"Social assistance benefits, Transactions",,"Government-provided financial assistance to individuals or households in need, aimed at improving their economic well-being. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G273_T,"Employer social benefits, Transactions",,"Benefits provided by employers to their employees, including health insurance, retirement benefits, and other welfare benefits. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G27_T,"Social benefits, Transactions",,"Financial or in-kind benefits provided by the government to individuals or households to support their well-being, including social assistance, pensions, and unemployment benefits. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G27_TCB_CAB,"Social benefits, Transactions (cash basis of recording), Cash basis",,"Financial or in-kind benefits provided by the government to individuals or households to support their well-being, including social assistance, pensions, and unemployment benefits. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G2811_T,"Dividends payable, Transactions",,"Payments that the government owes to shareholders of state-owned enterprises as a distribution of profits. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2812_T,"Withdrawals from income of quasi-corporations, payable, Transactions",,"Payments that quasi-corporations are required to make to the government from their income, typically representing the government's share of profits or other earnings. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2813_T,"Property expense for investment income disbursements, Transactions",,"Expenses related to the disbursement of investment income from property assets. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2814_T,"Rent payable, Transactions",,"Rent payments that the government owes for the use of property or land. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2815_T,"Reinvested earnings on foreign direct investment, payable, Transactions",,"Earnings from foreign direct investments that are reinvested in the same foreign enterprises, representing amounts owed to foreign investors. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G281MC_T,"Miscellaneous current property expense other than interest, Transactions",,"Expenses related to property that do not include interest payments, such as maintenance, insurance, and taxes. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G281MK_T,"Miscellaneous non-interest property expense: capital, Transactions",,"Capital expenses related to property that do not involve interest, such as major repairs and improvements. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G281_T,"Property expense other than interest, Transactions",,"Property-related expenses that do not include interest payments, such as maintenance, insurance, and taxes. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G282_T,"Transfers payable not elsewhere classified, Transactions",,"Transfer payments that do not fit into specific categories and are classified as miscellaneous. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G28313_T,"Capital claims payable (premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes), Transactions",,"Amounts owed by the government for premiums, fees, and claims related to nonlife insurance policies and standardized guarantee schemes. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G2831_T,"Premiums, fees, and current claims, payable, Transactions",,"Amounts that the government owes for premiums, fees, and current claims related to nonlife insurance policies and standardized guarantee schemes. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G283_T,"Premiums, fees, and claims related to nonlife insurance and standardized guarantee schemes, Transactions",,"Payments related to nonlife insurance policies and standardized guarantee schemes, including premiums, fees, and claims. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
